# Oracle Event Stream
# Format: t<event_index>: <event_type>(id=<obj_id>, size=<bytes>, site=<site_id>, thread=<thread_id>)
# Total events: 2012
# Allocations: 1006
# Frees: 1006

t5: alloc(id=1837543557, size=24, site=55, thread=1283928880)
t7: free(id=1837543557, size=24, site=55, thread=1283928880)
t18: alloc(id=766572210, size=32, site=75, thread=1283928880)
t27: free(id=766572210, size=32, site=75, thread=1283928880)
t51: alloc(id=870698190, size=24, site=93, thread=1283928880)
t65: free(id=870698190, size=24, site=93, thread=1283928880)
t72: alloc(id=1389647288, size=40, site=76, thread=1283928880)
t74: free(id=1389647288, size=40, site=76, thread=1283928880)
t94: alloc(id=1983747920, size=24, site=124, thread=1283928880)
t96: free(id=1983747920, size=24, site=124, thread=1283928880)
t115: alloc(id=581374081, size=32, site=75, thread=1283928880)
t124: free(id=581374081, size=32, site=75, thread=1283928880)
t128: alloc(id=33524623, size=24, site=122, thread=1283928880)
t132: free(id=33524623, size=24, site=122, thread=1283928880)
t133: alloc(id=947679291, size=24, site=122, thread=1283928880)
t137: free(id=947679291, size=24, site=122, thread=1283928880)
t138: alloc(id=575335780, size=24, site=122, thread=1283928880)
t142: free(id=575335780, size=24, site=122, thread=1283928880)
t143: alloc(id=205125520, size=24, site=122, thread=1283928880)
t147: free(id=205125520, size=24, site=122, thread=1283928880)
t148: alloc(id=1911006827, size=24, site=122, thread=1283928880)
t152: free(id=1911006827, size=24, site=122, thread=1283928880)
t153: alloc(id=717356484, size=24, site=122, thread=1283928880)
t157: free(id=717356484, size=24, site=122, thread=1283928880)
t158: alloc(id=1595212853, size=24, site=122, thread=1283928880)
t162: free(id=1595212853, size=24, site=122, thread=1283928880)
t163: alloc(id=475266352, size=24, site=122, thread=1283928880)
t167: free(id=475266352, size=24, site=122, thread=1283928880)
t168: alloc(id=1355531311, size=24, site=122, thread=1283928880)
t172: free(id=1355531311, size=24, site=122, thread=1283928880)
t173: alloc(id=1967205423, size=24, site=122, thread=1283928880)
t177: free(id=1967205423, size=24, site=122, thread=1283928880)
t178: alloc(id=42121758, size=24, site=122, thread=1283928880)
t182: free(id=42121758, size=24, site=122, thread=1283928880)
t183: alloc(id=20671747, size=24, site=122, thread=1283928880)
t187: free(id=20671747, size=24, site=122, thread=1283928880)
t188: alloc(id=257895351, size=24, site=122, thread=1283928880)
t192: free(id=257895351, size=24, site=122, thread=1283928880)
t193: alloc(id=1929600551, size=24, site=122, thread=1283928880)
t197: free(id=1929600551, size=24, site=122, thread=1283928880)
t198: alloc(id=1690716179, size=24, site=122, thread=1283928880)
t202: free(id=1690716179, size=24, site=122, thread=1283928880)
t203: alloc(id=1053782781, size=24, site=122, thread=1283928880)
t207: free(id=1053782781, size=24, site=122, thread=1283928880)
t208: alloc(id=1211888640, size=24, site=122, thread=1283928880)
t212: free(id=1211888640, size=24, site=122, thread=1283928880)
t213: alloc(id=564160838, size=24, site=122, thread=1283928880)
t217: free(id=564160838, size=24, site=122, thread=1283928880)
t218: alloc(id=2012232625, size=24, site=122, thread=1283928880)
t222: free(id=2012232625, size=24, site=122, thread=1283928880)
t223: alloc(id=846063400, size=24, site=122, thread=1283928880)
t227: free(id=846063400, size=24, site=122, thread=1283928880)
t228: alloc(id=627150481, size=24, site=122, thread=1283928880)
t232: free(id=627150481, size=24, site=122, thread=1283928880)
t233: alloc(id=128526626, size=24, site=122, thread=1283928880)
t237: free(id=128526626, size=24, site=122, thread=1283928880)
t238: alloc(id=1911728085, size=24, site=122, thread=1283928880)
